# 2-Theta   Intensity
33.7493   25.0
33.7743   30.0
33.7993   37.0
33.8243   22.0
33.8493   19.0
33.8743   25.0
33.8993   12.0
33.9243   23.0
33.9493   32.0
33.9743   28.0
33.9993   33.0
34.0243   27.0
34.0493   15.0
34.0743   29.0
34.0993   23.0
34.1243   24.0
34.1493   19.0
34.1743   24.0
34.1993   20.0
34.2243   23.0
34.2493   24.0
34.2743   20.0
34.2993   31.0
34.3243   25.0
34.3493   33.0
34.3743   20.0
34.3993   19.0
34.4243   16.0
34.4493   22.0
34.4743   12.0
34.4993   13.0
34.5243   19.0
34.5493   26.0
34.5743   25.0
34.5993   21.0
34.6243   16.0
34.6493   17.0
34.6743   19.0
34.6993   17.0
34.7243   13.0
34.7493   21.0
34.7743   29.0
34.7993   23.0
34.8243   16.0
34.8493   29.0
34.8743   25.0
34.8993   19.0
34.9243   16.0
34.9493   17.0
34.9743   25.0
34.9993   17.0
35.0243   21.0
35.0493   12.0
35.0743   15.0
35.0993   25.0
35.1243   20.0
35.1493   19.0
35.1743   19.0
35.1993   16.0
35.2243   20.0
35.2493   24.0
35.2743   16.0
35.2993   15.0
35.3243   21.0
35.3493   12.0
35.3743   26.0
35.3993   21.0
35.4243   17.0
35.4493   26.0
35.4743   15.0
35.4993   19.0
35.5243   12.0
35.5493   20.0
35.5743   16.0
35.5993   16.0
35.6243   17.0
35.6493   17.0
35.6743   20.0
35.6993   24.0
35.7243   21.0
35.7493   26.0
35.7743   17.0
35.7993   19.0
35.8243   29.0
35.8493   16.0
35.8743   21.0
35.8993   10.0
35.9243   16.0
35.9493   21.0
35.9743   13.0
35.9993   12.0
36.0243   20.0
36.0493   12.0
36.0743   24.0
36.0993   19.0
36.1243   21.0
36.1493   17.0
36.1743   16.0
36.1993   12.0
36.2243   16.0
36.2493   16.0
36.2743   12.0
36.2993   27.0
36.3243   16.0
36.3493   15.0
36.3743   15.0
36.3993   15.0
36.4243   20.0
36.4493   16.0
36.4743   19.0
36.4993   19.0
36.5243   12.0
36.5493   27.0
36.5743   13.0
36.5993   19.0
36.6243   16.0
36.6493   27.0
36.6743   15.0
36.6993   22.0
36.7243   13.0
36.7493   15.0
36.7743   17.0
36.7993   15.0
36.8243   7.0
36.8493   16.0
36.8743   15.0
36.8993   5.0
36.9243   20.0
36.9493   20.0
36.9743   19.0
36.9993   24.0
37.0243   23.0
37.0493   16.0
37.0743   20.0
37.0993   21.0
37.1243   17.0
37.1493   20.0
37.1743   12.0
37.1993   13.0
37.2243   23.0
37.2493   7.0
37.2743   13.0
37.2993   10.0
37.3243   19.0
37.3493   12.0
37.3743   13.0
37.3993   12.0
37.4243   16.0
37.4493   10.0
37.4743   13.0
37.4993   12.0
37.5243   12.0
37.5493   17.0
37.5743   16.0
37.5993   15.0
37.6243   12.0
37.6493   16.0
37.6743   6.0
37.6993   16.0
37.7243   16.0
37.7493   16.0
37.7743   10.0
37.7993   17.0
37.8243   24.0
37.8493   10.0
37.8743   22.0
37.8993   24.0
37.9243   23.0
37.9493   16.0
37.9743   21.0
37.9993   16.0
38.0243   16.0
38.0493   16.0
38.0743   24.0
38.0993   12.0
38.1243   24.0
38.1493   21.0
38.1743   16.0
38.1993   12.0
38.2243   12.0
38.2493   21.0
38.2743   20.0
38.2993   16.0
38.3243   16.0
38.3493   12.0
38.3743   7.0
38.3993   22.0
38.4243   10.0
38.4493   13.0
38.4743   16.0
38.4993   16.0
38.5243   13.0
38.5493   12.0
38.5743   16.0
38.5993   22.0
38.6243   10.0
38.6493   15.0
38.6743   16.0
38.6993   7.0
38.7243   16.0
38.7493   16.0
38.7743   17.0
38.7993   13.0
38.8243   10.0
38.8493   16.0
38.8743   12.0
38.8993   16.0
38.9243   12.0
38.9493   10.0
38.9743   17.0
38.9993   16.0
39.0243   10.0
39.0493   10.0
39.0743   15.0
39.0993   16.0
39.1243   19.0
39.1493   13.0
39.1743   20.0
39.1993   16.0
39.2243   9.0
39.2493   12.0
39.2743   12.0
39.2993   15.0
39.3243   15.0
39.3493   16.0
39.3743   10.0
39.3993   16.0
39.4243   15.0
39.4493   17.0
39.4743   19.0
39.4993   13.0
39.5243   7.0
39.5493   22.0
39.5743   16.0
39.5993   16.0
39.6243   15.0
39.6493   12.0
39.6743   22.0
39.6993   20.0
39.7243   12.0
39.7493   13.0
39.7743   17.0
39.7993   9.0
39.8243   21.0
39.8493   16.0
39.8743   12.0
39.8993   16.0
39.9243   7.0
39.9493   12.0
39.9743   15.0
39.9993   12.0
40.0243   13.0
40.0493   13.0
40.0743   15.0
40.0993   12.0
40.1243   13.0
40.1493   12.0
40.1743   15.0
40.1993   13.0
40.2243   13.0
40.2493   12.0
40.2743   16.0
40.2993   22.0
40.3243   16.0
40.3493   15.0
40.3743   13.0
40.3993   23.0
40.4243   10.0
40.4493   13.0
40.4743   12.0
40.4993   21.0
40.5243   5.0
40.5493   15.0
40.5743   12.0
40.5993   9.0
40.6243   16.0
40.6493   17.0
40.6743   19.0
40.6993   17.0
40.7243   9.0
40.7493   16.0
40.7743   16.0
40.7993   10.0
40.8243   12.0
40.8493   20.0
40.8743   20.0
40.8993   16.0
40.9243   16.0
40.9493   10.0
40.9743   6.0
40.9993   10.0
41.0243   13.0
41.0493   17.0
41.0743   15.0
41.0993   13.0
41.1243   10.0
41.1493   19.0
41.1743   16.0
41.1993   16.0
41.2243   12.0
41.2493   19.0
41.2743   12.0
41.2993   13.0
41.3243   13.0
41.3493   5.0
41.3743   12.0
41.3993   15.0
41.4243   16.0
41.4493   16.0
41.4743   6.0
41.4993   15.0
41.5243   16.0
41.5493   13.0
41.5743   10.0
41.5993   12.0
41.6243   21.0
41.6493   22.0
41.6743   16.0
41.6993   9.0
41.7243   13.0
41.7493   13.0
41.7743   7.0
41.7993   15.0
41.8243   12.0
41.8493   16.0
41.8743   13.0
41.8993   10.0
41.9243   10.0
41.9493   15.0
41.9743   12.0
41.9993   12.0
42.0243   12.0
42.0493   17.0
42.0743   20.0
42.0993   15.0
42.1243   16.0
42.1493   16.0
42.1743   5.0
42.1993   12.0
42.2243   19.0
42.2493   21.0
42.2743   16.0
42.2993   10.0
42.3243   24.0
42.3493   15.0
42.3743   15.0
42.3993   13.0
42.4243   16.0
42.4493   12.0
42.4743   10.0
42.4993   15.0
42.5243   12.0
42.5493   15.0
42.5743   16.0
42.5993   20.0
42.6243   21.0
42.6493   29.0
42.6743   34.0
42.6993   31.0
42.7243   12.0
42.7493   19.0
42.7743   16.0
42.7993   20.0
42.8243   19.0
42.8493   17.0
42.8743   13.0
42.8993   10.0
42.9243   16.0
42.9493   7.0
42.9743   15.0
42.9993   13.0
43.0243   15.0
43.0493   20.0
43.0743   24.0
43.0993   13.0
43.1243   16.0
43.1493   19.0
43.1743   16.0
43.1993   19.0
43.2243   15.0
43.2493   10.0
43.2743   17.0
43.2993   15.0
43.3243   13.0
43.3493   5.0
43.3743   17.0
43.3993   12.0
43.4243   22.0
43.4493   10.0
43.4743   10.0
43.4993   12.0
43.5243   10.0
43.5493   10.0
43.5743   9.0
43.5993   12.0
43.6243   13.0
43.6493   17.0
43.6743   13.0
43.6993   7.0
43.7243   10.0
43.7493   12.0
43.7743   30.0
43.7993   12.0
43.8243   10.0
43.8493   12.0
43.8743   20.0
43.8993   12.0
43.9243   10.0
43.9493   10.0
43.9743   17.0
43.9993   15.0
44.0243   21.0
44.0493   16.0
44.0743   19.0
44.0993   13.0
44.1243   6.0
44.1493   13.0
44.1743   10.0
44.1993   10.0
44.2243   17.0
44.2493   15.0
44.2743   19.0
44.2993   23.0
44.3243   12.0
44.3493   15.0
44.3743   10.0
44.3993   15.0
44.4243   20.0
44.4493   13.0
44.4743   15.0
44.4993   12.0
44.5243   21.0
44.5493   6.0
44.5743   16.0
44.5993   17.0
44.6243   10.0
44.6493   12.0
44.6743   16.0
44.6993   24.0
44.7243   13.0
44.7493   16.0
44.7743   13.0
44.7993   15.0
44.8243   15.0
44.8493   17.0
44.8743   20.0
44.8993   13.0
44.9243   5.0
44.9493   26.0
44.9743   13.0
44.9993   20.0
45.0243   12.0
45.0493   12.0
45.0743   16.0
45.0993   16.0
45.1243   10.0
45.1493   13.0
45.1743   15.0
45.1993   20.0
45.2243   12.0
45.2493   12.0
45.2743   15.0
45.2993   15.0
45.3243   12.0
45.3493   27.0
45.3743   17.0
45.3993   15.0
45.4243   24.0
45.4493   13.0
45.4743   6.0
45.4993   25.0
45.5243   17.0
45.5493   10.0
45.5743   15.0
45.5993   19.0
45.6243   24.0
45.6493   23.0
45.6743   10.0
45.6993   13.0
45.7243   13.0
45.7493   20.0
45.7743   20.0
45.7993   20.0
45.8243   15.0
45.8493   22.0
45.8743   16.0
45.8993   21.0
45.9243   16.0
45.9493   22.0
45.9743   22.0
45.9993   21.0
46.0243   32.0
46.0493   25.0
46.0743   13.0
46.0993   30.0
46.1243   22.0
46.1493   20.0
46.1743   26.0
46.1993   28.0
46.2243   32.0
46.2493   28.0
46.2743   25.0
46.2993   22.0
46.3243   21.0
46.3493   28.0
46.3743   26.0
46.3993   31.0
46.4243   32.0
46.4493   31.0
46.4743   38.0
46.4993   27.0
46.5243   32.0
46.5493   28.0
46.5743   46.0
46.5993   46.0
46.6243   38.0
46.6493   26.0
46.6743   38.0
46.6993   30.0
