# Permutation Importance Analysis Results
# Generated: 2025-05-13 10:36:47

# Parameter Name    Importance Score
Biso o           0.000073
V                0.000056
Scale            0.000041
U                0.000029
Biso ce          0.000000
W                -0.000008
Lattice a        -0.000025
Zero             -0.028592
