# SHAP Beeswarm Plot Raw Data
# Generated: 2025-05-07 01:56:55

# This file contains the raw SHAP values and feature values for each sample and parameter

# Sample_ID,Zero_SHAP,Zero_Value,Lattice a_SHAP,Lattice a_Value,Lattice b_SHAP,Lattice b_Value,Lattice c_SHAP,Lattice c_Value,Biso o1_SHAP,Biso o1_Value,Biso o2_SHAP,Biso o2_Value,Biso o3_SHAP,Biso o3_Value,Biso pb_SHAP,Biso pb_Value,Biso s_SHAP,Biso s_Value,Scale_SHAP,Scale_Value,U_SHAP,U_Value,V_SHAP,V_Value,W_SHAP,W_Value
20,-0.000992,-0.076990,-0.001246,8.478159,-0.000799,5.396497,-0.001034,6.958711,-0.000174,1.989560,-0.000125,1.468550,-0.000116,1.318620,-0.000123,1.413260,-0.000391,0.418450,0.000026,1.482106,-0.000069,0.155476,0.000426,-0.455542,-0.000370,0.418828
21,-0.000904,-0.061160,0.001794,8.479268,0.001147,5.396853,0.001475,6.959044,0.000282,1.989640,0.000206,1.468460,0.000180,1.318560,0.000202,1.413380,0.000605,0.418460,-0.000156,1.481328,0.000136,0.155497,-0.000811,-0.455700,0.000723,0.419030
22,0.007355,-0.114700,-0.001865,8.478439,-0.001188,5.396310,-0.001521,6.958932,-0.000274,1.989810,-0.000201,1.468460,-0.000174,1.318510,-0.000200,1.413340,-0.000582,0.418450,-0.000107,1.479495,0.000071,0.155599,0.000296,-0.456177,-0.000225,0.419023
23,-0.010668,-0.053120,-0.000387,8.478949,-0.000253,5.397189,-0.000328,6.958940,-0.000054,1.989610,-0.000046,1.468700,-0.000041,1.318560,-0.000037,1.413360,-0.000109,0.418470,0.000313,1.481184,0.000227,0.155682,-0.001170,-0.456210,0.001038,0.419034
24,-0.005266,-0.070990,0.001428,8.478073,0.000907,5.396575,0.001162,6.958418,0.000046,1.989710,0.000033,1.468670,0.000031,1.318630,0.000037,1.413380,0.000120,0.418450,-0.000046,1.482201,-0.000041,0.155466,-0.000081,-0.455673,0.000044,0.419422
25,-0.000393,-0.115390,-0.002408,8.478906,-0.001528,5.397198,-0.001974,6.957986,-0.000442,1.989860,-0.000324,1.468690,-0.000294,1.318550,-0.000315,1.413270,-0.000971,0.418470,-0.000140,1.480981,0.001020,0.155731,-0.002830,-0.455505,0.002617,0.418886
26,0.000031,-0.086520,0.000720,8.479353,0.000455,5.396264,0.000594,6.957924,-0.000060,1.989640,-0.000043,1.468730,-0.000036,1.318620,-0.000041,1.413380,-0.000125,0.418480,0.000431,1.479285,-0.000081,0.155568,0.000248,-0.455665,-0.000224,0.419177
27,0.001812,-0.042940,0.000557,8.478878,0.000355,5.397191,0.000457,6.959075,0.000022,1.989630,0.000014,1.468690,0.000013,1.318480,0.000015,1.413360,0.000065,0.418490,0.000118,1.481774,0.000052,0.155551,-0.000221,-0.455606,0.000209,0.418754
28,-0.001381,-0.116880,0.000355,8.478115,0.000221,5.396402,0.000281,6.957883,0.000451,1.989850,0.000333,1.468740,0.000295,1.318450,0.000322,1.413320,0.000962,0.418510,0.000145,1.481802,0.000315,0.155733,-0.000902,-0.455897,0.000823,0.419394
29,0.005392,-0.085830,0.004692,8.479015,0.002983,5.396533,0.003841,6.958548,-0.000108,1.989630,-0.000074,1.468670,-0.000072,1.318480,-0.000077,1.413350,-0.000210,0.418480,-0.000007,1.479962,-0.000186,0.155707,0.000491,-0.455552,-0.000453,0.419167
30,0.010200,-0.062250,-0.001502,8.479212,-0.000957,5.396669,-0.001233,6.958035,-0.001234,1.989810,-0.000907,1.468730,-0.000812,1.318510,-0.000874,1.413220,-0.002623,0.418500,-0.000070,1.479295,-0.000289,0.155735,0.001047,-0.456280,-0.000948,0.419083
31,-0.007074,-0.072290,0.000670,8.479108,0.000427,5.396403,0.000547,6.958558,0.000013,1.989530,0.000010,1.468630,0.000010,1.318510,0.000011,1.413440,0.000033,0.418480,-0.000048,1.480783,0.000509,0.155635,-0.001319,-0.456161,0.001223,0.419134
32,0.001044,-0.060280,0.002620,8.478947,0.001675,5.396453,0.002164,6.957973,-0.000191,1.989780,-0.000138,1.468530,-0.000125,1.318600,-0.000134,1.413240,-0.000407,0.418500,-0.000566,1.480606,0.000199,0.155659,-0.000558,-0.455485,0.000522,0.419452
33,0.001208,-0.079200,0.000576,8.478386,0.000362,5.396560,0.000466,6.957849,-0.000335,1.989660,-0.000250,1.468730,-0.000228,1.318510,-0.000241,1.413300,-0.000708,0.418490,0.000118,1.481962,-0.000022,0.155599,-0.000390,-0.455588,0.000326,0.419139
34,0.006322,-0.103120,0.000753,8.478985,0.000485,5.396783,0.000622,6.958169,0.000042,1.989870,0.000031,1.468570,0.000022,1.318550,0.000026,1.413250,0.000107,0.418480,0.000382,1.480807,0.000232,0.155575,-0.000833,-0.456350,0.000761,0.419401
35,0.002853,-0.041010,-0.002207,8.479319,-0.001402,5.396602,-0.001801,6.958657,-0.000128,1.989730,-0.000093,1.468480,-0.000086,1.318510,-0.000091,1.413330,-0.000298,0.418480,-0.000253,1.480067,-0.000131,0.155630,0.000672,-0.456100,-0.000586,0.418917
36,0.013734,-0.099780,0.000046,8.479478,0.000028,5.397250,0.000043,6.958318,-0.000186,1.989700,-0.000135,1.468650,-0.000123,1.318480,-0.000139,1.413350,-0.000415,0.418490,0.000182,1.480686,0.000129,0.155668,-0.000333,-0.456334,0.000315,0.419091
37,0.003332,-0.043820,0.002447,8.478455,0.001553,5.397099,0.001999,6.957707,-0.000043,1.989520,-0.000029,1.468700,-0.000031,1.318620,-0.000031,1.413240,-0.000082,0.418500,0.000212,1.479708,0.000069,0.155546,-0.000374,-0.455656,0.000330,0.419377
38,-0.004176,-0.121970,-0.000526,8.479064,-0.000339,5.397112,-0.000422,6.959074,-0.000136,1.989790,-0.000099,1.468550,-0.000087,1.318700,-0.000096,1.413280,-0.000312,0.418510,-0.000256,1.481364,-0.000507,0.155571,0.001549,-0.456317,-0.001413,0.418989
