04-07-1996 / 23:15:31 / LaMnO3 T=150K / Ge(004) Lambda (è): 2.60 è              
     100       0   0.100      10       0       0
   1.000
  40000.  20000.    0.00    0.00
10   79110   49210   24510   12210    7410    5610    4410    4110    4310    44
10    4510    4110    3610    3810    3610    4310    4110    3810    3910    39
10    3910    3610    3910    4110    4110    4010    3810    4610    5010    67
10    8110   10710   10510   10110    8710    7010    5710    5710    5910    59
10    7810   11410   18510   24110   25510   23210   18710   13510    8210    57
10    4610    4010    4010    4410    4010    4810    5110    6110    7210    70
10    6310    5110    4810    4310    3510    3610    3410    3510    3710    36
10    4210    4010    3710    3910    3710    3310    3510    3410    3610    37
10    3810    4010    3410    3910    3410    3610    3710    3610    3610    34
10    3310    3410    3610    3810    3710    3610    3310    4010    5110    71
10   12110   23010   34810   44010   43210   35310   24110   14110    9010    59
10    5010    4610    4010    3410    3810    4110    4110    3510    3510    33
10    3310    3610    3310    3910    3410    4210    3910    3910    3810    37
10    4210    4710    4610    6610   10810   15010   18110   19310   18710   191
10   23510   30210   32310   32210   28110   25310   23010   19610   15610   110
10    7210    5710    4210    4610    4210    3110    3410    4110    3710    36
10    3610    3510    3510    3610    3110    3410    3410    3510    4110    35
10    3910    3510    3110    3310    3610    3610    3510    3510    3310    32
10    3510    3210    3710    3310    3310    3510    3810    3510    3710    39
10    3510    3410    3410    3710    3810    3310    3410    3510    3410    33
10    3510    3810    3510    3710    4410    4910    5110    6610    7710    80
10    9010    6610    5610    4710    4810    5410    8310   11210   12910   129
10   11210   11010   11910   13410   12410    9810    7610    5310    4910    43
10    3910    5510    8210   13410   18110   23210   22110   23810   27310   274
10   26310   23210   22010   21110   20810   19010   14310   11010    7210    46
10    4610    4410    4410    4110    3510    4310    3810    4010    4410    46
10    7010   10410   15810   21210   22010   19610   12910    9110    5810    47
10    4610    4510    4410    4410    5310    6610    9110    9610    9110    81
10    66 9    47 9    43 9    34 9    37 9    38 9    40 9    39 9    35 9    35
 9    32 9    35 9    34 9    41 9    35 9    33 9    38 9    35 9    34 9    35
 9    34 9    34 9    33 9    35 9    35 9    37 9    37 9    34 9    32 9    34
 9    32 9    37 9    33 9    31 9    34 9    33 9    37 9    36 9    35 9    30
 9    31 9    33 9    34 9    31 9    35 9    30 9    34 9    31 9    40 9    34
 9    31 9    30 9    34 9    30 9    33 9    37 9    41 9    47 9    53 9    58
 9    56 8    53 8    41 8    40 8    42 8    26 8    34 8    32 8    31 8    34
 8    35 8    35 8    32 8    32 8    36 8    31 8    32 8    38 8    33 8    36
 8    34 8    31 8    35 8    34 8    36 8    35 8    35 8    32 8    33 8    32
 8    32 8    36 8    37 8    33 8    47 8    48 8    72 8   108 8   138 8   141
 8   128 8    95 8    57 8    44 8    40 8    37 8    35 8    35 8    35 8    37
 8    33 8    34 8    35 8    34 8    29 8    32 8    32 8    38 8    39 8    43
 8    38 7    44 7    37 7    37 7    35 7    33 7    38 7    31 7    30 7    31
 7    29 7    36 7    35 7    31 7    34 7    36 7    29 7    36 7    38 7    35
 7    36 7    43 7    50 7    65 7    99 7   147 7   171 7   146 7   107 7    67
 7    44 7    35 7    39 7    44 7    69 7    88 7    93 7    87 7    62 7    53
 7    42 7    34 7    38 7    39 7    42 7    57 7    65 7    79 7    77 7    63
 7    52 7    35 7    36 7    40 7    27 7    38 7    32 7    33 7    36 7    39
 7    55 6    62 6    78 6    77 6    59 6    47 6    37 6    34 6    42 6    35
 6    40 6    39 6    30 6    34 6    37 6    44 6    38 6    31 6    34 6    32
 6    34 6    39 6    33 6    36 6    39 6    35 6    33 6    32 6    35 6    34
 6    33 6    36 6    37 6    45 6    46 6    41 6    45 6    49 6    40 6    41
 6    36 6    34 6    41 6    31 6    30 6    36 6    36 6    37 6    37 6    38
 6    29 6    38 6    41 6    50 6    75 6    96 6   178 6   264 6   312 6   312
 6   254 5   184 5   113 5    67 5    49 5    48 5    39 5    35 5    40 5    29
 5    38 5    41 5    42 5    35 5    32 5    33 5    37 5    39 5    38 5    40
 5    40 5    38 5    33 5    33 5    38 5    40 5    34 5    35 5    44 5    55
 5    46 5    45 5    39 5    39 5    42 5    37 5    38 5    33 5    36 5    40
 5    41 5    39 5    42 5    39 5    41 5    39 5    41 5    35 5    42 5    40
 5    41 5    37 5    38 5    43 5    39 5    39 5    50 5    66 5    75 5   116
 5   126 4   131 4   102 4    66 4    54 4    50 4    50 4    44 4    46 4    50
 4    62 4    53 4    49 4    47 4    46 4    48 4    55 4    71 4    69 4    66
 4    87 4    82 4    72 4    80 4    73 4    63 4    65 4    49 4    47 4    41
 4    47 4    45 4    47 4    44 4    39 4    39 4    45 4    50 4    47 4    41
 4    47 4    46 4    74 4   106 4   146 4   176 4   180 4   155 4   122 4    81
 4    58 4    49 4    42 4    51 4    37 4    42 4    46 4    44 4    39 4    40
 4    36 3    39 3    53 3    42 3    40 3    47 3    47 3    42 3    39 3    44
 3    44 3    37 3    47 3    41 3    41 3    41 3    46 3    53 3    44 3    41
 3    42 3    36 3    48 3    55 3    62 3    98 3   143 3   219 3   288 3   277
 3   262 3   210 3   161 3   102 3    66 3    53 3    46 3    51 3    52 3    54
 3    47 3    60 3    70 3    90 3   158 3   262 3   408 3   515 3   588 3   569
 3   458 3   317 3   190 3   117 3    75 3    56 3    41 3    51 3    51 3    47
 3    42 2    33 2    41 2    43 2    37 2    49 2    48 2    43 2    40 2    46
 2    40 2    41 2    55 2    42 2    28 2    41 2    38 2    54 2    61 2    47
 2    51 2    65 2    58 2    53 2    47 2    41 2    48 2    37 2    36 2    43
 2    49 2    42 2    39 2    48 2    43 2    39 2    30 2    48 2    48 2    51
 2    43 2    46 2    39 2    36 2    45 2    45 2    42 2    42 2    48 2    50
 2    44 2    46 2    38 2    46 2    41 2    38 2    37 2    51 2    67 2    65
 2    64 1    54 1    39 1    58 1    41 1    52 1    41 1    38 1    56 1    45
 1    50 1    49 1    36 1    48 1    54 1    38 1    58 1    72 1    81 1    90
 1   140 1   154 1   207 1   219 1   219 1   245 1   247 1   171 1   143 1   148
 1   138 1   175 1   151 1   114 1   121 1   159 1   173 1   183 1   211 1   161
 1   181 1   151 1   136 1   101 1    92 1    76 1    52 1    66 1    84 1    62
 1    53 1    56 1    47 1    45 1    66 1    50 1    54 1    46 1    54 1    67
 1    44
   -1000
  -10000
