# SHAP Beeswarm Plot Raw Data
# Generated: 2025-06-29 01:41:18

# This file contains the raw SHAP values and feature values for each sample and parameter

# Sample_ID,Zero_SHAP,Zero_Value,Lattice a_SHAP,Lattice a_Value,Lattice b_SHAP,Lattice b_Value,Lattice c_SHAP,Lattice c_Value,Biso ba_SHAP,Biso ba_Value,Biso co_SHAP,Biso co_Value,Biso o1_SHAP,Biso o1_Value,Biso o2_SHAP,Biso o2_Value,Biso tb_SHAP,Biso tb_Value,Scale_SHAP,Scale_Value,U_SHAP,U_Value,V_SHAP,V_Value,W_SHAP,W_Value
20,0.000183,-0.034280,0.000729,3.756171,0.001108,5.823613,0.000226,11.550986,-0.001074,0.030440,-0.001076,0.030430,-0.001073,0.030440,-0.001070,0.030440,-0.001079,0.030430,0.001067,0.000434,-0.000047,0.026936,0.000050,-0.027518,-0.000005,0.016718
21,-0.000247,-0.013730,-0.002914,3.756309,-0.004546,5.823543,-0.000878,11.552352,0.000149,0.030450,0.000140,0.030440,0.000150,0.030460,0.000138,0.030470,0.000141,0.030450,-0.001015,0.000433,0.000150,0.026941,-0.000154,-0.027497,0.000102,0.016706
22,0.000302,-0.039550,-0.000208,3.756076,-0.000315,5.824206,-0.000067,11.550791,0.000040,0.030460,0.000039,0.030430,0.000039,0.030430,0.000038,0.030450,0.000042,0.030460,-0.000229,0.000434,-0.000009,0.026921,0.000013,-0.027512,-0.000016,0.016693
23,-0.001105,-0.001520,0.000771,3.755855,0.001192,5.823397,0.000239,11.552375,0.000105,0.030450,0.000104,0.030440,0.000102,0.030450,0.000104,0.030440,0.000099,0.030470,-0.000273,0.000433,0.000252,0.026925,-0.000257,-0.027500,0.000165,0.016694
24,-0.000162,-0.023840,0.000278,3.755661,0.000449,5.823922,0.000085,11.551416,-0.000657,0.030440,-0.000660,0.030440,-0.000662,0.030440,-0.000655,0.030460,-0.000656,0.030440,-0.000035,0.000434,-0.000283,0.026920,0.000287,-0.027481,-0.000133,0.016688
25,0.000160,-0.035750,0.000121,3.756323,0.000207,5.824223,0.000038,11.550951,0.000189,0.030440,0.000188,0.030450,0.000186,0.030430,0.000189,0.030450,0.000192,0.030440,0.000598,0.000434,0.000175,0.026948,-0.000178,-0.027499,0.000112,0.016703
26,-0.000186,-0.020620,0.001177,3.755905,0.001840,5.823331,0.000353,11.551459,0.000548,0.030470,0.000546,0.030470,0.000546,0.030460,0.000548,0.030440,0.000547,0.030460,-0.000056,0.000433,-0.000034,0.026934,0.000039,-0.027467,-0.000035,0.016699
27,0.001620,-0.028570,-0.000078,3.756228,-0.000078,5.824111,-0.000022,11.552602,-0.001435,0.030430,-0.001438,0.030440,-0.001443,0.030440,-0.001434,0.030460,-0.001425,0.030450,-0.000141,0.000434,0.000168,0.026954,-0.000174,-0.027487,0.000135,0.016706
28,0.002228,-0.018860,0.000660,3.756196,0.001059,5.823450,0.000193,11.550948,0.000066,0.030450,0.000058,0.030440,0.000063,0.030440,0.000061,0.030440,0.000067,0.030430,0.000654,0.000434,0.000817,0.026969,-0.000832,-0.027496,0.000538,0.016705
29,0.001604,-0.021970,-0.000227,3.756238,-0.000356,5.823579,-0.000065,11.551799,0.000611,0.030440,0.000611,0.030450,0.000615,0.030430,0.000607,0.030460,0.000617,0.030460,-0.000325,0.000434,0.000233,0.026924,-0.000238,-0.027484,0.000134,0.016693
30,-0.000396,-0.007420,0.000315,3.755646,0.000491,5.823390,0.000106,11.552704,-0.000689,0.030440,-0.000690,0.030470,-0.000685,0.030440,-0.000688,0.030460,-0.000688,0.030460,-0.001417,0.000434,-0.001427,0.026927,0.001458,-0.027513,-0.000882,0.016717
31,0.000097,-0.010280,-0.000434,3.755991,-0.000679,5.823629,-0.000136,11.552070,0.000997,0.030450,0.000996,0.030460,0.000991,0.030450,0.000998,0.030460,0.000989,0.030470,0.000970,0.000434,-0.000595,0.026953,0.000611,-0.027492,-0.000322,0.016690
