 0.069 0.05 150.0  S151(Co) RT D1A 1.91A        MON=5000
 6    52 6    55 6    59 6    60 6    58 6    58 6    56 6    61 6    61 6    60
 6    63 6    61 6    61 6    63 6    70 6    66 6    63 6    65 6    66 6    65
 6    62 6    59 6    62 6    65 6    62 6    59 6    64 6    62 6    61 6    58
 6    59 6    61 6    56 6    57 6    58 6    60 6    60 6    61 6    60 6    60
 6    61 6    58 6    58 6    58 6    59 6    60 6    58 6    60 7    61 7    61
 7    61 7    64 7    66 7    63 7    62 7    64 7    62 7    60 7    64 7    61
 7    58 7    60 7    61 7    60 7    56 7    56 7    60 7    60 7    63 7    59
 7    62 7    61 7    59 7    59 7    60 7    64 7    66 7    67 7    70 7    70
 7    73 7    77 7    81 7    92 7   103 7   122 7   135 7   152 7   184 7   211
 7   241 7   260 7   280 7   294 7   293 7   273 7   249 7   216 7   184 7   153
 7   130 7   103 7    84 7    73 7    65 7    61 7    59 7    59 7    62 7    59
 7    61 7    59 7    59 7    63 7    61 7    58 7    62 7    62 7    57 7    55
 7    61 7    58 7    55 7    58 7    59 7    57 7    59 7    63 7    69 7    78
 7    91 7   102 7   125 7   165 7   212 7   272 7   348 7   445 7   575 7   729
 7   888 7  1034 7  1193 7  1290 7  1302 7  1261 7  1176 7  1030 7   874 7   707
 7   530 7   386 7   275 7   190 7   136 7   110 7    91 7    81 7    79 7    78
 7    86 7    92 7   101 7   122 7   135 7   149 7   170 7   186 7   199 7   196
 7   192 7   180 8   166 8   145 8   126 8   100 8    87 8    80 8    69 8    63
 8    63 8    66 8    62 8    58 8    61 8    57 8    56 8    56 8    57 8    57
 8    56 8    56 8    61 8    58 8    58 8    59 8    59 8    57 8    58 8    56
 8    58 8    57 8    59 8    57 8    57 8    60 8    59 8    58 8    60 8    61
 8    62 8    61 8    65 8    63 8    60 8    60 8    59 8    60 8    60 8    59
 8    59 8    59 8    60 8    65 8    65 8    68 8    69 8    67 8    73 8    81
 8    88 8    94 8    99 8   104 8   114 8   118 8   121 8   121 8   110 8   100
 8    92 8    83 8    76 8    69 8    65 8    66 8    60 8    62 8    61 8    59
 8    62 8    61 8    58 8    57 8    57 8    58 8    58 8    57 8    57 8    57
 8    55 8    58 8    58 8    61 8    60 8    62 8    63 8    61 8    58 8    59
 8    59 8    60 8    63 8    62 8    59 8    58 8    61 8    58 8    57 8    59
 8    59 8    61 8    64 8    74 8    83 8   101 8   123 8   161 8   208 8   278
 9   362 9   466 9   598 9   726 9   830 9   920 9   969 9   961 9   910 9   813
 9   684 9   565 9   427 9   314 9   231 9   162 9   123 9    97 9    76 9    66
 9    61 9    61 9    62 9    60 9    58 9    60 9    62 9    60 9    60 9    57
 9    58 9    61 9    64 9    67 9    64 9    66 9    75 9    84 9    94 9   112
 9   143 9   192 9   250 9   326 9   436 9   554 9   676 9   784 9   884 9   917
 9   897 9   835 9   721 9   583 9   456 9   331 9   231 9   167 9   118 9    93
 9    78 9    71 9    66 9    59 9    59 9    58 9    58 9    55 9    57 9    54
 9    55 9    56 9    55 9    59 9    55 9    56 9    59 9    59 9    55 9    55
